game,hdr,scene_type,preset,run,avg_cpu_usage,avg_cpu_package,avg_gpu_temp,avg_gpu_load,avg_fps,avg_1percent_low_fps,avg_1percent_high_frame_time
BMW,Off,Benchmark,High,1,28.425,41.916666666666664,88.16833333333334,99.0,71.93333333333334,67.6,16.525166666666667
BMW,Off,Benchmark,High,2,27.904999999999998,41.7,88.91833333333334,99.0,71.99499999999999,67.31333333333333,16.380833333333335
BMW,Off,Benchmark,Low,1,30.695,43.233333333333334,87.46333333333334,98.55,123.96333333333334,112.12333333333332,9.9545
BMW,Off,Benchmark,Low,2,29.51833333333333,42.916666666666664,89.025,98.56666666666666,113.36166666666666,97.87666666666668,12.2995
BMW,Off,Benchmark,Medium,1,29.43548387096774,41.725806451612904,89.18064516129031,99.0,87.4758064516129,79.66935483870968,14.609354838709677
BMW,Off,Benchmark,Medium,2,30.296666666666667,42.55,88.91499999999999,99.0,90.26166666666667,83.82333333333332,13.261833333333334
BMW,On,Benchmark,High,1,28.541666666666668,42.38333333333333,88.73,99.0,73.25166666666668,68.54833333333333,16.51033333333333
BMW,On,Benchmark,High,2,28.295081967213115,42.131147540983605,88.5,98.75409836065573,74.02950819672131,67.57540983606557,18.061147540983608
BMW,On,Benchmark,Low,1,31.372131147540983,44.19672131147541,89.1311475409836,98.54098360655738,116.15573770491804,100.02131147540985,13.343442622950821
BMW,On,Benchmark,Low,2,31.043333333333333,44.31666666666667,88.28166666666667,98.61666666666666,120.43833333333333,109.19666666666667,10.585833333333333
BMW,On,Benchmark,Medium,1,29.963934426229507,42.65573770491803,89.14590163934426,99.0,89.57213114754097,80.81803278688524,15.041311475409836
BMW,On,Benchmark,Medium,2,31.071666666666665,43.28333333333333,88.3,99.0,92.45833333333333,84.61999999999999,13.608
CP2077,Off,Benchmark,High,1,41.65333333333333,47.53333333333333,81.16166666666666,98.7,68.67,62.92333333333333,17.603166666666667
CP2077,Off,Benchmark,High,2,40.155,45.85,86.43833333333333,98.68333333333334,67.32166666666667,60.538333333333334,18.208666666666666
CP2077,Off,Benchmark,Low,1,58.67833333333333,50.46666666666667,72.89666666666668,97.98333333333333,121.59166666666667,107.385,11.087833333333332
CP2077,Off,Benchmark,Low,2,55.705000000000005,51.38333333333333,83.41666666666667,98.1,119.17166666666667,108.14333333333335,11.119
CP2077,Off,Benchmark,Medium,1,48.84,49.43333333333333,81.77166666666668,98.55,97.705,87.99,12.951333333333334
CP2077,Off,Benchmark,Medium,2,46.975,50.1,88.06333333333333,98.46666666666667,92.99833333333332,84.05166666666668,13.454166666666667
CP2077,On,Benchmark,High,1,42.46666666666667,46.833333333333336,85.275,98.65,67.22166666666666,60.755,18.32
CP2077,On,Benchmark,High,2,41.205000000000005,46.53333333333333,88.49833333333332,98.58333333333333,63.87,57.501666666666665,19.49416666666667
CP2077,On,Benchmark,Low,1,54.27833333333333,50.31666666666667,78.69333333333334,98.18333333333334,121.99833333333332,110.16333333333334,10.733666666666666
CP2077,On,Benchmark,Low,2,53.675,50.833333333333336,83.16666666666667,98.13333333333334,120.48333333333333,108.66000000000001,10.982333333333335
CP2077,On,Benchmark,Medium,1,49.358333333333334,50.3,85.31,98.46666666666667,99.03333333333333,89.265,12.794833333333335
CP2077,On,Benchmark,Medium,2,48.416393442622955,50.50819672131148,88.06065573770492,98.52459016393442,95.74918032786886,85.54590163934427,13.176229508196721
KCD2,Off,Bright,High,1,48.09848484848485,42.74242424242424,69.62727272727273,100.0,78.85757575757576,77.46818181818182,12.99151515151515
KCD2,Off,Bright,High,2,47.70985915492958,43.436619718309856,69.53661971830986,100.0,79.20985915492957,77.37605633802816,13.104788732394365
KCD2,Off,Bright,Low,1,46.88405797101449,44.08695652173913,69.71304347826087,99.3913043478261,114.27971014492753,108.01304347826087,10.42086956521739
KCD2,Off,Bright,Low,2,46.54615384615385,44.07692307692308,69.56923076923077,99.15384615384616,114.41230769230769,107.15076923076923,10.446
KCD2,Off,Bright,Medium,1,47.42272727272727,44.74242424242424,69.9030303030303,100.0,95.3378787878788,93.56212121212121,10.830909090909092
KCD2,Off,Bright,Medium,2,47.60923076923077,44.0,70.05999999999999,100.0,95.36153846153846,93.48307692307692,10.779538461538461
KCD2,Off,Dark,High,1,46.035616438356165,44.67123287671233,70.13561643835617,100.0,78.9013698630137,77.52876712328768,12.975205479452056
KCD2,Off,Dark,High,2,45.94657534246575,44.95890410958904,70.31506849315069,100.0,78.34794520547945,76.94657534246576,13.076438356164385
KCD2,Off,Dark,Low,1,46.0025974025974,45.857142857142854,70.17792207792208,100.0,111.47012987012988,108.99740259740258,9.442987012987013
KCD2,Off,Dark,Low,2,46.39705882352941,45.970588235294116,69.59705882352942,99.95588235294117,113.8970588235294,111.26029411764705,9.263382352941177
KCD2,Off,Dark,Medium,1,46.77183098591549,45.91549295774648,70.16619718309859,100.0,94.27323943661972,92.74366197183099,10.87774647887324
KCD2,Off,Dark,Medium,2,48.50128205128205,46.32051282051282,69.64358974358974,100.0,99.25128205128206,96.74871794871794,10.690897435897435
KCD2,On,Bright,High,1,46.736486486486484,42.36486486486486,70.0945945945946,100.0,76.43648648648649,75.26621621621621,13.368243243243244
KCD2,On,Bright,High,2,47.40921052631579,42.43421052631579,69.54868421052632,100.0,76.375,75.1921052631579,13.373684210526315
KCD2,On,Bright,Low,1,46.300000000000004,44.61971830985915,69.57042253521126,99.16901408450704,109.78028169014084,103.00422535211268,11.144647887323943
KCD2,On,Bright,Low,2,46.73947368421052,45.5921052631579,69.63026315789473,99.03947368421052,110.21973684210528,103.14736842105263,11.084736842105263
KCD2,On,Bright,Medium,1,47.14794520547945,43.397260273972606,70.13150684931507,100.0,91.74520547945205,90.28767123287672,11.178219178082191
KCD2,On,Bright,Medium,2,47.12739726027397,44.38356164383562,69.95068493150684,100.0,91.93424657534246,90.52191780821919,11.148767123287671
KCD2,On,Dark,High,1,44.82763157894737,43.55263157894737,70.43157894736842,100.0,72.13815789473684,70.71052631578948,14.28842105263158
